	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change
VCP	8436.89000076056	-0.468418092435402	0.0698191754531553	-6.70901782204065	1.95938739676767e-11	8.4164470642503e-11	NOT
VCPIP1	364.388012382422	1.07440382941231	0.128461437417549	8.3636292027473	6.08178570532382e-17	4.83962895599022e-16	UP
VCPKMT	94.8753467345507	0.295669185126528	0.27408387167263	1.07875440945201	0.280697223470009	0.337240075874067	NOT
VDAC1	3427.82641863085	-0.0444119814655902	0.0941748436277316	-0.471590711009286	0.637218958260341	0.690309318681637	NOT
VDAC2	4319.19327513833	-0.265818572378254	0.0966281164221274	-2.75094436506457	0.00594237347002729	0.00965722014959955	NOT
VDAC3	3632.28050638218	-0.162238003806931	0.107266437031058	-1.51247685946683	0.130412595149429	0.16872794504067	NOT
Vdr	50.2195494585878	0.700569347157971	0.360349010045341	1.94414117321932	0.0518784293643118	0.0729761317313073	NOT
VEGFA	1618.80210395942	1.15136851315392	0.158460997695057	7.26594259724166	3.70445884854167e-13	1.92832439960298e-12	UP
VEGFB	13120.2959094414	-1.53319941957817	0.166425279968613	-9.21253922401284	3.18499700060008e-20	3.72276777076219e-19	DOWN
VEGFC	789.898881208577	0.170197846474962	0.105708806661264	1.61006307658309	0.10738408677611	0.141662266105499	NOT
VEGFD	22.7949452826366	1.04610483104114	0.662798052981422	1.57831608939633	0.114493011444564	0.150164691510939	NOT
Veph1	33.3798637549624	1.56280690445577	0.457950871520208	3.41260821115571	0.000643443753456477	0.00118945461070395	UP
VEZF1	2426.18367466449	0.732230283664559	0.124235787389541	5.89387566216046	3.77241073002106e-09	1.26283399018899e-08	NOT
VEZT	1070.7346993902	-0.443767217016858	0.0852653013541671	-5.20454639776126	1.94471033412694e-07	5.40052976341229e-07	NOT
VGF	20.0525141156596	-0.50721119097561	0.527955299769749	-0.960708588770327	0.336698711523694	0.395653138323718	NOT
Vgll2	125.95444387972	-0.628189473379004	0.378415620052164	-1.66005164716089	0.0969040629781202	0.129121474075662	NOT
Vgll3	92.4776085575263	1.13542722630507	0.309180919418538	3.67237159537663	0.000240309905616146	0.000467372230141302	UP
VGLL4	4021.73968396605	-0.207548753037474	0.0808657846245621	-2.56658306106923	0.0102706023902064	0.016119008873192	NOT
Vhl	533.015215842194	1.73730588898033	0.299489352629077	5.80089366693451	6.59624209138709e-09	2.14646490056518e-08	UP
VILL	59.3491096286131	0.352914515164007	0.399002934620471	0.884491026362243	0.376431204469174	0.436836272134654	NOT
VIM	75937.5904409863	-0.451187910742041	0.110608737892042	-4.07913442771958	4.52036935520458e-05	9.65365765551772e-05	NOT
VIPAS39	699.179625650525	0.056205311660311	0.113494624417457	0.495224438591702	0.620441701619016	0.675273066886274	NOT
VIPR1	152.95779915226	-0.114634285216453	0.237641962601984	-0.48238233669383	0.629534366448088	0.683331989605849	NOT
Vipr2	275.766780339086	-0.724780035537631	0.156061904804266	-4.64418293783261	3.41424937100486e-06	8.28882320467121e-06	NOT
Virma	1473.26945074466	0.390257842398129	0.106587387502248	3.66138857085599	0.000250851961333555	0.000486863315064302	NOT
